KPid,Type,NameFilm,Year,Countries,Genres,ratingKP,ratingImdb,ratingMpaa,ratingAgeLimits,Description,WebUrl,WebUrl2,PosterUrl
258371,FILM,BBC: Мегацунами,2000.0,['Великобритания'],['документальный'],7.2,,,age0,"Однажды огромная волна может сокрушить сиднейскую гавань, стереть калифорнийские пляжи или луга северной Шотландии. Мегацунами случаются гораздо чаще, чем хотелось бы верить официальной науке, и ни одно побережье не может чувствовать себя в безопасности. 

Только в тихоокеанском регионе за последние 2 000 лет от цунами погибло 462 597 человек. Название «мегацунами» призвано подчеркнуть отличие такой гигантской волны от обычных цунами, вызываемых землетрясениями. Землетрясения способны породить приливные волны высотой в 10-15, максимум 30 метров. Конечно, такая приливная волна высотой в 10-этажный дом обладает страшной разрушительной силой, но цунами, вызванное оползнем части прибрежного горного массива в море, может быть гораздо страшнее.",https://w4.kpfr.wiki/film/258371/,https://www.kinopoisk.ru/film/258371/,https://kinopoiskapiunofficial.tech/images/posters/kp/258371.jpg
258370,TV_SERIES,Дети других людей,2000.0,['Великобритания'],['драма'],,6.6,,,,https://w4.kpfr.wiki/film/258370/,https://www.kinopoisk.ru/film/258370/,https://kinopoiskapiunofficial.tech/images/posters/kp/258370.jpg
258366,MINI_SERIES,Натан Барли,2005.0,['Великобритания'],['комедия'],7.2,8.0,,,"Натан Барли - веб-дизайнер, независимый режиссер, сценарист, диджей и, по своим собственным словам, «самостоятельный медийный центр». Он считает себя самым крутым, модным и трендовым парнем в Лондоне - а какой настоящий модник не читает журнал Sugar Ape? Натан Барли уверен, что раз у него есть видеокамера и компьютер - то и талант у него точно есть. Как ни странно, в этом с ним согласны и многие обитатели восточного Лондона - люди неопределенного пола и возраста в узких джинсах, которых другой главный герой сериала журналист Дэн Эшкрофт покрыл позором в своем манифесте «Восход идиотов», опубликованном все в том же Sugar Ape. Парадоксальным образом, именно после этой статьи Барли и подобные ему «идиоты» записали Эшкрофта в свои духовные лидеры...",https://w4.kpfr.wiki/film/258366/,https://www.kinopoisk.ru/film/258366/,https://kinopoiskapiunofficial.tech/images/posters/kp/258366.jpg
258364,FILM,Воздушный волк,1984.0,['США'],"['триллер', 'фантастика', 'приключения', 'боевик']",7.7,6.6,,,"Ученый, создавший супервертолет «Воздушный волк», похищает свое изобретение и переправляет его в Ливию. Секретное правительственное агентство нанимает бывшего пилота, участвовавшего в войне во Вьетнаме, чтобы он привез вертолет обратно.",https://w4.kpfr.wiki/film/258364/,https://www.kinopoisk.ru/film/258364/,https://kinopoiskapiunofficial.tech/images/posters/kp/258364.jpg
258363,TV_SERIES,Воздушный волк,1984.0,['США'],"['фантастика', 'приключения', 'боевик']",7.7,6.7,,,"Засекреченное подразделение ЦРУ, известное как «Фирма», разработало новый, оснащенный современным вооружением вертолет под названием «Воздушный волк». Но во время пробного полета один из создателей «Воздушного волка» повернул его беспощадную огневую мощь против своих и угнал вертолет в Ливию.",https://w4.kpfr.wiki/film/258363/,https://www.kinopoisk.ru/film/258363/,https://kinopoiskapiunofficial.tech/images/posters/kp/258363.jpg
258359,TV_SERIES,Человек-животное,1983.0,['США'],"['драма', 'фантастика', 'фэнтези']",,6.5,,,"Джонатан Чейз - британский профессор, преподающий в одном из университетов Нью-Йорка. Он не просто талантливый ученый, но еще и необычный человек: Джонатан может свободно перевоплощаться практически в любых животных. Такой дар должен работать. Вместе с очаровательной Брук и приятелем по имени Ту они борются с преступностью в городе.",https://w4.kpfr.wiki/film/258359/,https://www.kinopoisk.ru/film/258359/,https://kinopoiskapiunofficial.tech/images/posters/kp/258359.jpg
258358,TV_SERIES,Смол и Фрай,1983.0,['США'],"['фэнтези', 'комедия']",,6.5,,,,https://w4.kpfr.wiki/film/258358/,https://www.kinopoisk.ru/film/258358/,https://kinopoiskapiunofficial.tech/images/posters/kp/258358.jpg
258357,FILM,Ребенок с 200% I.Q.,1983.0,['США'],"['комедия', 'семейный']",,5.1,,,,https://w4.kpfr.wiki/film/258357/,https://www.kinopoisk.ru/film/258357/,https://kinopoiskapiunofficial.tech/images/posters/kp/258357.jpg
258355,FILM,Прыжок с пирса Клозен,2005.0,['США'],"['драма', 'мелодрама']",6.7,5.4,,age18,"Кэрри и Майк были неразлучны со школы, а потом обручились. Но вот однажды Керри поняла, что больше не любит Майкла, вернее, любит, но уже не так.... Во время поездки на озеро девушка решает объясниться, но неудачный прыжок расстроенного Майка в воду превращает его в парализованного инвалида. Он великодушно предлагает Кэрри свободную от себя жизнь, и она принимает этот подарок. В поисках новой себя девушка отправляется в Нью-Йорк...",https://w4.kpfr.wiki/film/258355/,https://www.kinopoisk.ru/film/258355/,https://kinopoiskapiunofficial.tech/images/posters/kp/258355.jpg
258348,FILM,Идеальный брак,2006.0,['Канада'],"['триллер', 'криминал', 'детектив']",5.0,5.0,,age16,"Поддавшись убеждениям любовника, Энни Грейсон осуществляет чудовищный, но безупречный план убийства своего богатого мужа! Однако позже Брент исчезает с ее деньгами. Спустя 4 года, все знают Энни как Мэриэнн Дэнфорт — жену будущего наследника 30-миллионного бизнеса. Она снова заключила идеальный брак...",https://w4.kpfr.wiki/film/258348/,https://www.kinopoisk.ru/film/258348/,https://kinopoiskapiunofficial.tech/images/posters/kp/258348.jpg
